Date,Open,High,Low,Close,Volume,OpenInt
1/29/2007,483.1,488.9,482.01,484.46,44500,0
1/30/2007,485.4,488.9,484.99,486.25,28700,0
1/31/2007,488,488,483.13,485.1,21100,0
2/1/2007,483.25,488.68,478.01,488.63,28800,0
2/2/2007,490,493.51,488.62,492.38,34700,0
2/5/2007,495.25,497.38,491.31,497.38,37300,0
2/6/2007,499.3,500.67,496.01,500,21800,0
2/7/2007,500,501.47,494.6,495.74,33400,0
2/8/2007,496.7,501.47,496.7,499,18400,0
2/9/2007,499.95,500,495,496.95,15500,0
2/12/2007,497,497,493.21,494,16000,0
2/13/2007,493.05,494.27,488.1,490.23,30100,0
2/14/2007,492.2,494,490.5,494,30400,0
2/15/2007,494.75,497.17,493.2,494.99,24100,0
2/16/2007,494.2,497.4,492.02,494.25,11800,0
2/20/2007,493.6,497.89,491.62,497.89,14100,0
2/21/2007,497,497,491.65,494.98,22100,0
2/22/2007,494.98,495,492,492.3,11700,0
2/23/2007,492.5,493,489.25,492.2,26600,0
2/26/2007,491.4,491.4,488.33,488.33,9300,0
2/27/2007,487.5,487.5,473,478.57,21600,0
2/28/2007,479.5,480.32,475.2,478.85,16700,0
3/1/2007,482,483.23,476.4,482.25,20400,0
3/2/2007,485.25,486.88,482.22,484,15700,0
3/5/2007,483.2,483.2,478,478.85,13600,0
3/6/2007,479.5,480.3,471,472,23900,0
3/7/2007,474.5,474.5,470,471,18400,0
3/8/2007,471.95,472.15,469.1,471.5,12900,0
3/9/2007,472.25,473,467,467,23800,0
3/12/2007,467.9,473.6,467.1,472,29800,0
3/13/2007,472.8,474.03,467.43,468.26,10200,0
3/14/2007,467.5,467.5,461.17,466.6,21900,0
3/15/2007,466.5,475,464,472.5,24500,0
3/16/2007,471.55,476.8,471.55,474.15,15000,0
3/19/2007,475.1,477.12,473.67,475,12900,0
3/20/2007,474.2,478.99,473.28,478.99,24800,0
3/21/2007,479.9,485.01,477,484.85,16000,0
3/22/2007,484.8,485.66,482.78,482.8,11900,0
3/23/2007,482,486.96,482,483.6,11900,0
3/26/2007,483.6,488.35,483,485,27800,0
3/27/2007,485.95,485.95,480,480.32,14800,0
3/28/2007,479.4,482.8,479.4,482.8,8500,0
3/29/2007,481.85,481.85,476.21,478.2,21800,0
3/30/2007,477.7,485,477.35,484.83,16600,0
4/2/2007,484,487.61,481.5,483.5,22200,0
4/3/2007,484.05,485.19,481,483.75,22500,0
4/4/2007,484.6,486.74,482.21,486,27500,0
4/5/2007,485,485,483.9,485,11600,0
4/9/2007,484.06,484.95,483,484.94,9700,0
4/10/2007,484.94,485,480.36,481.21,17100,0
4/11/2007,481.21,483.67,480.01,480.29,8200,0
4/12/2007,476.29,482.35,476.29,479.01,12200,0
4/13/2007,477.15,477.56,470,475,21800,0
